site,year,salinity,depth (ft)
2219,2017,0.98,-0.026322
2334,2017,2.36,0.60337
2418,2017,0.5,0.43407
2493,2017,0.64,0.40552
2568,2017,0.25,-0.030471
2608,2017,0.49,0.61298
2627,2017,1.4,0.8071
2634,2017,0.51,0.41515
2825,2017,12.59,-0.91813
2830,2017,0.69,-0.18932
2854,2017,0.68,0.036581
3054,2017,0.14,0.097602
3136,2017,0.1,0.06908
3601,2017,10.9,0.16108
3617,2017,10.9,0.011494
3626,2017,2,0.17467
3639,2017,1.97,-0.24074
3641,2017,3.31,-0.13075
3650,2017,3.06,-0.22768
3664,2017,4.14,0.15202
3680,2017,17.94,-0.11562
3784,2017,4.56,0.16125
3800,2017,3.03,0.33631
3913,2017,0.1,0.19142
3985,2017,0.86,0.35074
4014,2017,0.24,-0.5136
4016,2017,0.25,-0.16139
4045,2017,2.49,-0.32467
4094,2017,0.14,-0.1154
4103,2017,2.38,-0.026702
4107,2017,2.63,-0.44437
4406,2017,3.41,0.27068
4407,2017,2.2,0.21503
4448,2017,0.36,1.4446
4455,2017,16.14,-0.074099
4529,2017,17.98,-0.12546
4551,2017,5.19,0.3376
4557,2017,19.18,0.21923
4572,2017,7.83,-0.116
4596,2017,13.08,0.0052849
4626,2017,2.14,0.19059
4690,2017,12.73,0.16373
4782,2017,0.23,-0.11312
4808,2017,0.27,0.43663
4900,2017,0.24,0.8562
4938,2017,0.24,0.12624
5035,2017,0.21,0.54951
5167,2017,0.15,0.54201
5255,2017,0.15,0.36732
5267,2017,0.03,0.4083
5373,2017,0.2,1.0851
5414,2017,0.17,0.61719
5452,2017,0.01,0.43805
5845,2017,0.11,0.55591
6038,2017,0.25,-0.52404
6042,2017,0.25,0.19035
6088,2017,0.45,-0.051259
6090,2017,0.47,0.14075
6209,2017,0.19,0.27934
6303,2017,2.19,-0.25258
6304,2017,0.67,-0.15958
