site,year,salinity,depth (ft)
163,2011,1.07,-0.2881
164,2011,22.85,-0.1721
171,2011,22.24,-0.29203
172,2011,22.97,-0.04258
173,2011,21.39,-0.13276
174,2011,21.67,-0.20544
175,2011,16.13,-0.093606
178,2011,11.74,-0.52945
179,2011,22.76,-0.43463
181,2011,19.05,-0.42631
209,2011,17.73,-1.0299
217,2011,0.09,0.044031
220,2011,11.48,-0.24476
225,2011,7.82,-0.3011
226,2011,18.33,-0.71251
232,2011,20.56,-0.44192
248,2011,10.91,-0.46826
251,2011,17.47,-0.026473
253,2011,12.22,-0.44532
258,2011,14.4,-0.21647
260,2011,15.07,-0.32107
261,2011,4.95,-0.27275
263,2011,9.9,-0.24313
272,2011,NaN,-0.17483
292,2011,29.61,-0.34464
293,2011,5.87,-0.50331
302,2011,26.06,-0.37357
303,2011,11.82,-0.70605
305,2011,1.74,-0.75801
307,2011,12.42,-0.21837
309,2011,9.2,-0.58987
310,2011,20.9,-0.035977
311,2011,20.72,-0.31139
315,2011,10.12,-0.11848
319,2011,20.83,-0.13508
322,2011,16.3,-0.42105
324,2011,0.21,-0.27404
326,2011,10.4,-0.65728
332,2011,12.28,-0.70374
335,2011,19.95,-0.16632
336,2011,20.42,-0.20736
337,2011,18.3,-0.20034
338,2011,21.55,0.03938
341,2011,22.68,-0.015873
345,2011,26.67,-0.049876
347,2011,26.81,-0.23562
354,2011,6.5,-0.33418
355,2011,24.41,-0.87311
369,2011,12.21,-0.48491
374,2011,25.62,-0.22314
376,2011,28.08,0.029861
377,2011,16.11,-0.45489
383,2011,21.36,-0.096856
386,2011,16.56,-0.2069
387,2011,14.73,-0.37706
390,2011,8.41,-0.17599
392,2011,8.96,-0.017579
397,2011,17.99,-0.16938
398,2011,2.21,-0.95911
399,2011,7.22,-0.44645
400,2011,3.41,-0.13674
416,2011,14.03,-0.22257
421,2011,26.06,-0.012071
434,2011,13.1,-0.39655
461,2011,0.24,0.26556
479,2011,0.22,0.17414
482,2011,0.24,0.26565
488,2011,0.37,-0.24376
489,2011,0.29,-0.85097
498,2011,4.42,-0.02058
499,2011,7.53,-0.26268
501,2011,6.09,-0.14113
504,2011,2.77,0.016822
507,2011,7.33,-0.10257
508,2011,4.55,-0.48807
513,2011,0.27,0.62718
517,2011,0.34,-0.86485
520,2011,9.37,-0.80697
523,2011,10.18,-0.86771
531,2011,3.5,-0.88261
532,2011,4.16,-1.1649
535,2011,10.61,-0.70966
541,2011,9.24,-1.2208
542,2011,0.17,NaN
543,2011,0.5,-1.0547
545,2011,1.58,-0.52409
547,2011,0.78,-0.30577
550,2011,0.53,-0.89864
551,2011,0.41,-0.71194
553,2011,4.7,-0.040135
554,2011,1.59,-0.17101
556,2011,1.2,0.25938
560,2011,0.87,0.075006
562,2011,3,-0.080491
565,2011,0.7,-0.19163
567,2011,1.16,-0.030482
570,2011,0.87,0.75397
571,2011,1.24,-0.053694
572,2011,0.97,0.16219
574,2011,1.53,0.051747
576,2011,1.69,-0.015719
580,2011,5.1,-0.33361
581,2011,13.95,-0.087568
583,2011,3.93,-0.85172
587,2011,7.94,-0.43773
590,2011,1.82,0.11823
595,2011,1.51,-0.10538
603,2011,3.15,-0.1885
604,2011,3.06,0.12694
605,2011,5.56,-0.29716
608,2011,2.66,-0.21674
609,2011,10.1,-0.2049
614,2011,19.1,-0.63017
616,2011,4.82,-0.10137
618,2011,8.08,-0.48599
619,2011,2.11,0.22254
623,2011,5.29,-0.068426
624,2011,1.8,-0.48786
626,2011,1,-0.43476
633,2011,6.3,-0.2805
638,2011,13,-0.39881
641,2011,13,-0.54312
645,2011,22.64,-0.32666
651,2011,11.85,-0.44353
655,2011,24.09,-0.22827
658,2011,11.29,-0.215
660,2011,7.6,-0.69045
661,2011,8.66,-0.1467
662,2011,6.94,-0.48203
663,2011,7.4,-0.24672
665,2011,10.74,-0.031912
669,2011,7.35,-0.33082
672,2011,15.75,-0.17104
677,2011,8.12,-0.36858
682,2011,5.26,-0.55882
683,2011,9.66,-0.4674
684,2011,14.95,-0.24533
685,2011,20.79,-0.3777
687,2011,22.78,-0.42762
697,2011,9.91,-0.40013
978,2011,20.53,0.15672
1024,2011,14.52,-0.56234
1069,2011,29.23,-0.68878
1100,2011,1.22,-0.66213
1130,2011,0.9,-0.11564
1205,2011,10.39,-0.54188
1277,2011,0.2,-0.34318
1409,2011,2.88,-0.44554
1446,2011,1.76,-0.18759
1650,2011,4.41,-0.74795
1738,2011,18.9,-0.35355
1743,2011,17.55,-0.343
1858,2011,9.5,-0.61461
2041,2011,5.44,-0.85962
2154,2011,6.75,-0.30058
2156,2011,7.62,-0.45034
2219,2011,3.94,-0.83157
2334,2011,12.08,-0.31898
2418,2011,20.3,-0.35355
2493,2011,6.51,-0.50419
2568,2011,0.23,-0.081878
2608,2011,0.64,0.18373
2627,2011,0.86,0.10804
2634,2011,0.95,-0.090722
2825,2011,14.81,-0.36221
2830,2011,2.68,-0.53477
2854,2011,4.16,-0.30545
3054,2011,0.37,-0.29603
3136,2011,0.16,-0.39029
3601,2011,9.7,-0.14812
3617,2011,14.61,-0.15317
3626,2011,7.04,-0.16569
3639,2011,5.6,-0.54127
3641,2011,1.19,-0.34255
3650,2011,6.03,-0.62743
3664,2011,6.75,-0.19524
3680,2011,17.96,-0.50742
3784,2011,12.99,-0.14143
3800,2011,7.08,-0.10378
3913,2011,0.94,-0.48379
3985,2011,3.3,0.023639
4014,2011,0.24,-0.61202
4016,2011,0.2,-0.32961
4045,2011,1.74,-0.68356
4094,2011,1.58,-0.41206
4103,2011,2.9,-0.37667
4107,2011,5.55,-0.52954
4406,2011,12.11,-0.11676
4407,2011,5.87,-0.20263
4448,2011,0.76,1.0156
4455,2011,11.29,-0.38568
4529,2011,19.1,-0.46007
4551,2011,8.07,-0.12581
4557,2011,19.58,-0.2925
4572,2011,25.41,-0.51545
4596,2011,17.74,-0.4247
4626,2011,2.01,-0.39984
4690,2011,19.56,-0.26958
4782,2011,0.23,-0.055556
4808,2011,0.38,0.4476
4900,2011,0.23,0.72657
4938,2011,0.23,1.1495
5035,2011,NaN,0.27087
5167,2011,0.22,0.062913
5255,2011,0.49,-0.13902
5267,2011,0.05,-0.0066899
5373,2011,0.2,0.38164
5414,2011,0.43,0.070557
5452,2011,0.49,0.035906
5845,2011,0.26,-0.024144
6038,2011,0.24,-0.47079
6042,2011,0.3,-0.038758
6088,2011,4.46,-0.66594
6090,2011,5.1,-0.53889
6209,2011,1.19,-0.20071
6303,2011,5.89,-0.61027
6304,2011,0.24,-0.68992
2,2012,7.01,0.10564
3,2012,21.8,-0.46464
6,2012,5.74,0.092013
30,2012,3.05,-0.20224
33,2012,2.91,0.16836
34,2012,2.75,0.020709
38,2012,0.69,0.51387
39,2012,0.51,1.2267
46,2012,0.17,0.026081
47,2012,1,-0.18532
56,2012,1.47,0.40344
86,2012,0.8,0.011914
97,2012,0.61,0.20643
103,2012,0.74,0.12341
108,2012,17.71,-0.31711
121,2012,0.6,0.14209
125,2012,1.69,0.075382
131,2012,1.01,-0.55276
132,2012,1.96,-0.23972
135,2012,0.5,-0.51231
136,2012,2.4,-0.67792
139,2012,0.14,-0.063951
148,2012,0.2,-0.82165
154,2012,0.15,-0.24987
156,2012,0.15,-0.43491
159,2012,0.15,0.082531
163,2012,0.16,-0.22484
164,2012,22.13,0.040727
171,2012,4.77,-0.13282
172,2012,15.28,0.11299
173,2012,19.03,-0.054152
174,2012,12.82,-0.042386
175,2012,18.08,0.19013
178,2012,19.02,-0.2935
179,2012,17.69,-0.17874
181,2012,10.57,-0.29408
209,2012,15.52,-0.6991
217,2012,0.13,0.49617
220,2012,6.24,-0.069144
225,2012,10.07,-0.14046
226,2012,10.18,-0.43895
232,2012,8.73,-0.23993
248,2012,4.95,-0.29514
251,2012,9.43,0.12122
253,2012,6.44,-0.28449
258,2012,2.3,-0.1021
260,2012,6.79,-0.15821
261,2012,3.56,-0.11471
263,2012,6.1,-0.11289
272,2012,19.72,-0.036642
292,2012,23.83,-0.14701
293,2012,9.74,-0.33095
302,2012,24.54,-0.23838
303,2012,7.35,-0.54616
305,2012,0.35,-0.72744
307,2012,13.76,-0.061993
309,2012,NaN,-0.49288
310,2012,22.28,0.14649
311,2012,18.14,-0.14399
315,2012,14.89,-0.0040176
319,2012,22.78,0.043676
322,2012,13.9,-0.2457
324,2012,0.16,-0.2083
326,2012,5.1,-0.54133
332,2012,4.37,-0.54235
335,2012,23.26,0.0012787
336,2012,24.32,-0.059235
337,2012,24.27,-0.064714
338,2012,25.81,0.23337
341,2012,26.07,0.21477
345,2012,21.65,0.1254
347,2012,14.33,-0.099536
354,2012,0.8,-0.20496
355,2012,24.42,-0.6891
369,2012,8.03,-0.33676
374,2012,36.61,-0.079279
376,2012,24.33,0.24014
377,2012,15.64,-0.27855
383,2012,16.12,0.0081046
386,2012,19.57,-0.053178
387,2012,21.75,-0.20995
390,2012,13.42,-0.0046803
392,2012,13.22,0.16352
397,2012,19.78,0.038385
398,2012,0.73,-0.80059
399,2012,1.09,-0.21787
400,2012,16.9,0.036485
416,2012,NaN,0.050853
421,2012,22.32,0.13363
434,2012,4.27,-0.27524
461,2012,0.13,-0.03857
479,2012,0.12,-0.025003
482,2012,0.13,-0.10829
488,2012,0.31,-0.32475
489,2012,0.43,-0.76822
498,2012,8.57,0.078925
499,2012,6.51,-0.20634
501,2012,7.41,0.081136
504,2012,8.31,0.18008
507,2012,7.25,0.11701
508,2012,5.43,-0.018269
513,2012,0.77,0.76711
517,2012,1,-0.93173
520,2012,4.28,-0.63706
523,2012,4.95,-0.6517
531,2012,4.69,-0.7639
532,2012,2.79,-1.0702
535,2012,8.31,-0.52361
541,2012,7.13,-1.0144
542,2012,0.23,NaN
543,2012,0.18,-1.0061
545,2012,0.26,-0.40534
547,2012,1.33,-0.15606
550,2012,0.14,-0.70662
551,2012,0.24,-0.8329
553,2012,3.83,0.66608
554,2012,2.66,0.44355
556,2012,1.88,0.91135
560,2012,1.25,0.99885
562,2012,2.53,0.56528
565,2012,3.1,0.5599
567,2012,3.57,0.18978
570,2012,3.7,1.3004
571,2012,4.2,0.26035
572,2012,1.72,0.52177
574,2012,2.59,0.54898
576,2012,6.49,0.16697
580,2012,NaN,-0.11724
581,2012,21.14,0.31351
583,2012,5.71,0.048257
587,2012,6.5,0.3051
590,2012,1.3,0.75459
595,2012,2.58,0.50496
603,2012,2.72,0.47986
604,2012,2.5,0.67426
605,2012,4.01,0.35211
608,2012,3.28,0.36565
609,2012,19,0.032959
614,2012,33.5,-0.18584
616,2012,5.91,0.19676
618,2012,6.4,-0.24719
619,2012,4.59,0.32265
623,2012,9.58,-0.064418
624,2012,4.36,0.33637
626,2012,2.4,0.18998
633,2012,8.5,-0.083111
